ID,Solubility,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-68,-3.038699623,426.348,2.2001,109.5108,28,5,0,9,8,152,2,0,0,2,71.1,176.328844,3.92E-06,820.0639649
A-69,-3.810962795,252.364,2.6356,67.869,16,5,0,5,2,84,2,1,1,3,25.36,102.5588826,1.777897117,446.5442277
A-70,-2.593688492,152.237,2.2099,43.273,11,1,0,1,0,62,0,4,4,4,12.53,68.11978183,1.980315256,216.1577794
A-71,-0.426136485,1026.263,-9.9498,197.2081,63,23,4,35,15,314,5,0,0,5,414.74,451.055254,4.96E-06,3157.93203
A-72,-3.358911212,868.35,4.1072,211.2286,58,16,3,21,20,296,5,0,0,5,246.8,386.4974509,4.50E-06,2411.468973
A-74,-1.835797234,256.342,1.6236,66.566,18,4,0,4,8,104,0,3,3,3,43.52,108.920186,1.206721687,216.1785465
A-77,-1.779623135,215.168,4.3284,61.3265,15,2,0,3,0,72,3,0,0,3,30.21,86.97796987,2.702246345,700.3760069
A-79,-2.622959195,148.161,1.9869,42.0545,11,2,0,2,2,56,1,0,0,1,26.3,65.11169376,2.766605169,251.5250601
A-80,-3.739816376,192.258,2.7707,56.4815,14,2,0,2,1,76,1,0,0,1,26.3,84.89612314,2.949984042,317.1701203
A-81,-2.826535469,178.275,2.55602,55.7498,13,1,1,1,3,72,1,0,0,1,20.23,80.41528956,2.743151502,276.2078951
A-83,-3.754953216,196.29,3.2422,59.055,14,2,0,2,5,80,0,0,0,0,26.3,86.64947555,3.670448527,232.7062842
A-86,-2.695999804,166.264,2.3612,49.7808,12,1,1,1,2,68,0,1,3,3,20.23,74.48164058,2.12734383,215.0440022
A-89,-1.647141463,140.226,2.4017,41.803,10,1,0,1,0,58,0,1,1,1,17.07,62.81447889,2.594656162,146.807256
A-91,-3.951518842,268.312,3.4616,78.529,20,3,0,3,6,102,2,0,0,2,35.53,118.0122174,2.01827716,575.7988048
A-100,-4.952868803,284.399,4.65738,87.2896,21,2,2,2,2,112,2,0,0,2,40.46,126.6315596,2.614907029,591.197921
A-101,-5.47300058,891.501,18.7691,270.436,63,6,0,6,53,374,0,0,0,0,78.9,393.0012114,4.296169818,885.5832275
A-111,-1.004260454,121.183,1.95242,38.352,9,1,0,1,1,48,1,0,0,1,12.89,55.74587744,2.881555878,176.264053
A-113,-2.979987205,228.332,2.3712,62.9038,16,3,1,3,3,94,0,1,1,1,46.53,98.18202633,2.607345789,235.3322057
A-115,-1.427031257,622.588,-1.61776,144.5988,42,10,2,14,6,204,4,0,1,5,172.6,286.5634629,2.42E-06,1836.595334
A-116,-4.229152992,389.835,-1.8358,17.6865,13,0,0,13,0,84,0,0,0,0,256.5,125.2184608,0,15.57639132
A-117,-2.95264717,206.241,2.1847,57.71,15,3,0,3,5,80,1,0,0,1,35.53,89.32006533,2.177249866,329.9802853
A-119,-0.175874376,34.033,0.5857,7.032,2,0,0,1,0,14,0,0,0,0,0,12.90478643,1,2
A-122,-3.988526528,214.264,3.1444,63.874,16,2,0,2,5,82,2,0,0,2,18.46,95.44547201,1.698217471,356.0952226
A-123,-7.278038713,379.375,5.9982,112.0468,25,2,2,4,6,136,2,0,0,2,52.04,161.0592902,2.605266323,716.9411215
A-124,-1.439605121,591.621,1.55116,153.6725,42,8,3,11,6,208,4,0,1,5,158.49,265.1176664,4.05E-06,1889.081184
A-125,-1.857977427,144.214,2.2874,40.9418,10,1,1,2,5,60,0,0,0,0,37.3,62.24960168,3.609578053,93.43071362
A-127,-4.285895804,397.89,4.4017,90.502,21,6,0,7,0,100,4,0,0,4,25.78,153.7711414,1.47E-07,718.0672908
A-128,-4.034756761,216.664,1.8313,55.6878,14,3,1,4,1,78,1,1,1,2,49.83,88.26957004,2.13E-07,224.068537
A-129,-4.021753515,210.273,2.6027,57.105,15,3,0,3,6,84,0,1,1,1,43.37,90.49476953,2.148614906,255.5928465
A-134,-5.229282852,406.906,4.6948,111.2514,28,4,3,6,4,152,2,1,1,3,90.29,170.4151814,2.91E-07,703.019051
A-140,-2.759957367,114.041,2.0319,16.303,7,0,0,4,0,42,0,0,0,0,0,37.44167384,3.791118417,79.42592197
A-143,-0.62297793,775.969,4.72561,210.4314,54,9,0,12,16,278,5,0,0,5,124.12,342.989258,6.50E-06,2098.802645
A-144,-4.139133643,247.974,1.2939,15.182,3,2,0,3,0,18,0,0,0,0,0,34.65223128,3.265986324,23.77443751
A-145,-1.642781181,758.706,-1.0802,178.4864,52,14,0,20,9,254,4,0,2,6,229.18,342.0618159,3.02E-06,2210.600386
A-146,-3.088778192,196.29,2.7643,54.783,14,2,0,2,1,80,0,2,2,2,26.3,86.01701931,2.225540267,269.4952945
A-147,-6.6197116,283.283,-3.2584,12.1945,5,3,0,5,0,26,0,0,0,0,63.19,50.69643661,0,29.87430298
A-148,-4.135942613,220.312,3.351,65.225,16,2,0,2,5,88,1,0,0,1,26.3,97.62600736,2.544920392,327.848395
A-150,-2.603841144,622.548,-4.7392,143.5478,42,12,2,16,6,202,5,0,0,5,197.32,282.1466774,2.42E-06,2288.251258
A-153,-0.070052651,176.256,1.1989,48.2048,12,3,1,3,7,74,0,0,0,0,38.69,74.68011215,3.153177586,93.77443751
A-156,-4.170824759,222.288,2.243,60.637,16,4,0,4,3,88,0,1,1,1,58.86,95.8614723,2.854455781,352.0302612
A-162,-1.521890085,469.929,4.2338,123.9294,33,7,0,10,8,172,3,0,0,3,115.11,196.2893042,8.90E-07,1087.765708
A-167,-4.216916663,214.22,3.2644,59.536,16,3,0,3,2,80,2,0,0,2,35.53,93.242052,1.952194148,407.6186271
A-168,-4.151910976,170.252,2.8895,49.595,12,2,0,2,6,70,0,0,0,0,26.3,74.60919435,3.780192424,140.7740057
A-169,-1.189236756,182.223,0.3285,50.7804,13,2,2,4,4,72,0,0,0,0,58.2,77.70235045,3.689372962,230.3403164
A-170,-2.965977173,108.184,2.6728,36.748,8,0,0,0,0,44,0,0,1,1,0,50.90880861,2.285714286,72.60593782
A-171,-3.256981001,205.286,0.5904,49.1935,13,5,0,6,7,76,0,0,0,0,57.12,79.07735682,3.873428642,169.0666932
A-172,-3.32858345,240.803,2.6637,60.776,14,3,0,5,9,86,0,0,0,0,27.69,93.05366269,4.210670443,118.2059243
A-177,-1.79226117,678.696,-0.38408,163.5468,46,10,2,14,6,228,4,0,1,5,172.6,312.0232313,2.88E-06,2027.663603
A-178,-3.345107824,230.219,2.0344,61.3109,17,4,3,4,2,86,2,0,0,2,77.76,97.3976628,2.492154136,561.1321875
A-182,-4.425503245,266.381,4.1631,75.573,19,3,0,3,10,108,0,1,1,1,43.37,115.954538,1.932483464,307.1159065
A-184,-5.345705158,2216.691,29.64,638.1372,156,27,9,30,120,912,0,0,0,0,395.25,952.4933599,-2.51E-06,2927.060118
A-188,-5.42454755,292.375,4.4309,81.6463,21,3,1,4,10,116,1,0,0,1,63.6,125.6765896,2.168622689,436.6082594
A-189,-5.676541809,474.834,5.2448,125.028,28,8,0,10,21,170,0,0,0,0,55.38,182.7726662,4.137940541,289.9984128
A-191,-5.49192521,248.322,3.2977,72.442,18,3,0,3,6,98,1,0,0,1,35.53,108.4148917,2.398340762,390.7046704
A-195,-6.102526939,754.698,13.3887,214.936,45,4,0,7,18,264,0,0,0,0,6.48,308.1417279,5.345455404,714.6494188
A-196,-6.656649109,272.145,4.12018,69.224,16,1,0,2,2,78,2,0,0,2,23.79,103.4785088,2.468747212,523.1767595
A-198,-5.731545253,269.473,4.9255,84.2387,19,1,1,2,12,114,0,0,0,0,29.1,120.2897091,3.51254411,213.3076044
A-199,-7.555881514,899.128,5.9116,234.4254,64,14,3,14,7,358,0,5,8,8,170.06,378.8064259,1.081008911,1787.630132
A-208,-6.587338232,193.334,4.28678,59.82,14,1,0,1,4,80,0,1,1,1,23.79,88.50530493,2.55666339,191.7713275
A-209,-6.929013035,313.357,2.93,90.5164,23,5,0,6,4,120,2,1,1,3,58.85,134.593565,1.617703496,662.4878771
A-215,-2.155833357,186.113,1.8206,38.0325,13,3,0,5,1,68,1,0,1,2,35.53,71.87513956,2.506530915,362.4068138
A-216,-7.638280591,291.31,2.34768,83.0401,22,5,2,5,2,108,2,0,1,3,95.98,126.9127535,2.386809954,862.938264
A-219,-8.25019206,889.533,18.1793,280.1687,63,4,4,6,49,374,0,0,0,0,112.65,393.9201272,-8.60E-07,883.0930025
A-224,-0.453910537,283.887,1.899,78.481,19,0,0,2,11,110,1,0,0,1,3.88,125.3934212,3.24E-06,273.8503707
A-227,-1.825456143,665.226,6.0374,127.203,37,9,0,13,23,225,0,0,0,0,106.59,243.4543891,5.268005358,600.2721927
A-228,-0.817164744,652.574,-5.2469,149.4706,44,13,3,17,7,214,5,0,0,5,217.55,293.3058533,2.64E-06,2360.006031
A-229,-1.138382451,136.15,1.5948,38.1113,10,2,1,2,1,52,1,0,0,1,37.3,59.1170432,3.003400685,235.9394334
A-232,-2.786820452,601.508,-0.9072,142.7257,42,12,3,15,6,200,5,0,0,5,213.25,282.5069677,2.42E-06,2018.572524
A-234,-3.297212067,192.302,3.8243,62.243,14,1,0,1,5,78,0,0,0,0,17.07,87.2112694,3.896758106,262.9601503
A-236,-1.155886444,138.17,1.011,39.202,10,1,0,3,2,54,0,1,1,1,23.55,60.22505594,2.655338357,158.4449203
A-242,-3.274087547,179.135,0.7644,45.5738,13,3,2,6,1,66,2,0,0,2,91.79,71.35637388,2.743519994,525.0074434
A-243,-3.529299295,321.383,0.8504,79.5075,21,5,1,8,3,108,1,1,1,2,90.27,127.13854,2.410771719,773.8746665
A-247,-1.17595802,140.138,0.9078,36.0208,10,3,1,3,1,54,1,0,0,1,50.44,57.92186002,3.27872706,274.4248628
A-249,-2.211401723,150.177,1.4021,42.162,11,2,0,2,2,58,1,0,0,1,26.3,65.80129679,2.579302292,228.5778659
A-251,-4.226296416,323.294,-1.8583,23.5452,7,2,2,7,0,44,0,0,0,0,106.1,60.76948755,-8.00E-08,91.24856185
A-252,-3.27068643,171.583,2.55662,42.8434,11,2,0,4,1,58,1,0,0,1,43.14,68.75258718,3.273580822,298.4920898
A-257,-2.268475684,168.114,1.668,31.828,11,2,0,5,2,64,0,0,0,0,26.3,61.64603211,3.72638742,171.1564341
A-259,-2.642008137,394.992,-1.4038,29.9922,13,9,0,13,6,74,0,0,0,0,157.11,77.82631385,4.095996371,184.8606038
A-263,-2.404240574,228.288,2.6885,61.2776,16,2,2,4,9,92,0,0,0,0,74.6,95.97552296,3.831869773,245.4033153
A-264,-3.495359601,284.396,4.1048,79.6756,20,2,2,4,10,116,0,0,0,0,74.6,121.4352914,6.208567894,353.4883731
A-266,-3.526422567,302.458,4.1252,87.2638,22,2,1,2,0,122,0,3,4,4,37.3,133.9159794,1.720020178,535.8253338
A-270,-4.536378597,340.419,3.1846,96.9466,25,4,2,4,6,132,2,0,0,2,74.6,147.6844881,2.102909304,690.0287279
A-271,-8.744859544,1111.449,-2.668,18.7975,32,0,0,32,0,212,0,0,0,0,541.5,351.2263767,0,36.26982724
A-273,-4.493085819,304.386,2.7432,81.72,22,4,0,4,6,120,0,3,3,3,52.6,131.0967021,1.545513958,483.478828
A-276,-4.578402879,367.43,4.1314,102.7759,26,3,3,7,5,132,3,0,0,3,87.3,151.4824182,1.771000184,990.8075236
A-280,-4.928855971,772.498,12.4451,200.332,43,8,0,11,28,256,0,0,0,0,36.92,302.789615,-7.27E-07,589.7531357
A-284,-3.338049828,194.274,2.3742,52.599,14,2,0,2,1,78,0,3,3,3,26.3,85.01118816,1.73499116,261.047344
A-293,-2.595175443,346.464,5.6406,91.478,24,6,0,6,12,142,0,0,0,0,71.06,145.6497874,3.856218775,299.470675
A-295,-3.243750947,154.253,2.9579,48.51,11,1,0,1,5,64,0,0,0,0,17.07,69.49564913,3.376357363,131.8082035
A-296,-0.288092629,170.252,1.7149,46.9168,12,2,1,2,1,70,0,2,2,2,29.46,73.91984673,2.250419872,202.0152603
A-297,-3.302656786,176.259,2.9415,54.916,13,1,0,1,4,70,1,0,0,1,17.07,79.78257791,2.636328502,258.9578951
A-301,-3.384192904,208.301,3.0183,61.803,15,2,0,2,7,84,1,0,0,1,18.46,92.21308838,2.107711727,245.9726825
A-304,-3.339761604,186.295,2.9878,55.635,13,2,0,2,5,78,0,0,0,0,18.46,81.9261596,4.27253233,162.9290923
A-305,-3.296613578,168.28,3.1578,52.186,12,1,0,1,2,70,0,0,1,1,9.23,75.80678322,2.561778865,179.443134
A-311,-2.302767888,166.264,2.5071,52.7388,12,1,1,1,4,68,0,0,0,0,20.23,75.49252828,3.791125458,193.5398772
A-319,-2.327317556,173.171,1.116,48.075,13,2,0,3,1,64,1,0,1,2,37.38,75.27861526,2.381006529,363.1710361
A-320,-2.365667988,188.23,2.10762,56.391,14,2,0,3,1,72,1,0,1,2,32.67,83.03709681,2.315498209,392.2534879
A-321,-2.267384667,149.942,-0.8211,41.6551,11,3,2,4,2,56,1,0,0,1,57.53,64.43893885,2.9098228,242.3675283
A-322,-2.337666283,176.259,2.9433,54.766,13,1,0,1,3,70,1,0,0,1,17.07,79.78257791,2.870813134,285.2526033
A-326,-1.459377408,230.392,3.9162,69.7488,16,2,1,2,13,98,0,0,0,0,29.46,101.3912775,2.828262413,101.3029689
A-329,-2.800595088,505.458,3.3366,144.841,34,2,6,12,9,182,2,0,0,2,177.58,208.785028,1.605501052,931.4857206
A-332,-3.525627796,268.36,4.1594,84.32,20,1,0,3,4,104,2,0,0,2,23.55,119.9943973,2.275576049,489.9311666
A-334,-3.383020526,193.246,2.2257,56.0449,14,3,1,3,4,76,1,0,0,1,52.32,83.87107172,2.564465699,309.9107706
A-338,-4.413922406,228.247,2.7492,63.6683,17,3,1,3,3,86,2,0,0,2,46.53,99.28768264,2.012836804,505.8855888
A-347,-4.672502907,390.464,5.5737,113.212,28,4,3,6,5,140,4,0,0,4,78.43,162.9556164,1.900270664,1224.864054
A-348,-4.45076092,234.336,3.606,62.542,16,4,0,4,5,98,0,0,0,0,36.92,99.06638584,4.21219129,182.04475
A-349,-4.360607869,186.279,3.8378,57.007,13,1,0,1,2,64,2,0,0,2,0,82.61160735,2.161475751,315.8986487
A-350,-4.787470096,496.541,3.247,128.6407,35,8,3,10,9,182,3,0,1,4,145.02,202.0892524,1.563139004,1400.057895
A-355,-3.839084061,545.395,2.2958,113.4834,32,10,0,16,5,164,2,0,1,3,171.79,222.1555992,3.63E-06,1364.436943
A-360,-2.418090055,204.313,3.5784,62.971,15,1,0,1,4,82,1,1,1,2,9.23,92.45865411,1.658537056,261.9270063
A-362,-2.716017407,401.453,3.1751,94.954,25,4,0,5,10,151,0,0,0,0,80.26,164.9105275,-3.72E-07,345.892443
A-363,-3.396366501,192.302,3.37,60.013,14,1,0,1,2,78,0,0,1,1,17.07,86.89504128,2.927965908,270.9601503
A-364,-3.557960056,278.26,0.7978,66.487,20,6,0,6,6,106,1,2,2,3,77.66,115.1165028,1.516389025,453.9003429
A-365,-3.301742894,154.253,3.102,48.58,11,1,0,1,7,64,0,0,0,0,17.07,69.49564913,2.965479644,105.4404047
A-367,-3.069321152,900.912,-2.1254,224.1188,62,20,6,24,18,312,6,0,0,6,286.8,401.6563508,4.22E-06,2525.077197
A-368,-2.252203004,136.194,2.31746,42.3178,10,1,1,1,0,54,1,0,0,1,20.23,61.32046321,3.310532875,227.9003334
A-369,-2.043101387,84.04,1.5686,11.729,5,0,0,3,0,32,0,0,0,0,0,27.60079935,3.023715784,20.36452798
A-370,-1.469930479,224.256,1.0113,59.6511,16,4,2,4,5,88,1,0,0,1,66.76,94.48459064,2.750871838,348.2766642
A-372,-3.497557581,240.306,3.3792,75.086,18,1,0,3,2,92,2,0,0,2,23.55,107.2645131,2.171465719,463.0315152
A-373,-3.533758505,256.342,2.9874,68.088,18,4,0,4,0,104,0,1,1,1,52.6,109.027802,2.218727882,224.1785465
A-376,-0.437662317,205.075,-1.7099,30.596,11,4,0,5,2,67,0,0,0,0,80.26,75.80133794,-1.07E-07,99.14991062
A-377,-2.409651238,192.214,1.6896,50.689,14,3,0,3,3,74,1,1,1,2,38.83,82.6388951,1.963751398,320.5643458
A-378,-2.286983634,144.258,2.5836,44.9868,10,1,1,1,4,62,0,0,0,0,20.23,64.4530217,3.205455337,79.21928095
A-381,-2.352215179,166.22,1.8856,46.415,12,2,0,2,1,66,0,1,1,1,26.3,73.29219163,2.614625505,206.3686941
A-383,-3.718391335,381.693,5.942,123.4798,27,3,3,3,23,162,0,0,0,0,50.08,170.8829317,3.031801805,278.7998507
A-385,0.747325108,129.185,-2.9584,29.0227,6,2,1,4,0,30,0,0,0,0,12.03,70.58130186,0,46.81274391
A-387,-3.435950486,196.464,3.229,45.8844,10,1,1,4,0,54,1,0,0,1,26.02,73.6810925,3.282462907,209.1649959
A-391,-3.677346846,190.286,3.5025,59.627,14,1,0,1,4,76,1,0,0,1,17.07,86.14752002,2.870654854,301.858802
A-397,-2.436880918,196.065,2.6341,24.354,12,0,0,7,0,72,0,1,1,1,0,62.35193615,3.099777273,195.9734163
A-398,-3.922851514,596.117,9.6946,130.883,27,1,0,3,20,164,0,0,0,0,9.23,182.5799434,5.663274909,245.9541588
A-402,-2.364737497,164.204,2.4339,49.3668,12,2,1,2,2,64,1,0,0,1,29.46,72.10934753,3.045828965,289.8900955
A-403,-2.277035079,134.178,2.11594,41.3035,10,1,0,1,1,52,1,0,0,1,17.07,60.68775156,3.158901732,250.9052209
A-405,-0.594139338,277.257,-0.5583,65.5192,18,3,2,7,2,104,1,1,1,2,132.03,106.241711,3.06E-07,391.6798625
A-411,-2.44968993,197.146,1.1215,46.7007,14,5,1,6,3,74,1,0,0,1,89.67,78.88356415,3.410012363,387.5631831
A-412,-2.469378031,206.289,2.4912,64.3067,15,2,1,3,4,82,1,0,0,1,32.34,91.09227376,2.856387016,332.1489336
A-415,-3.502355132,223.199,-0.4996,6.4405,2,1,0,2,0,10,0,0,0,0,17.07,28.82298985,2,2
A-416,-3.533884584,239.322,3.36174,77.2631,18,1,2,3,2,92,2,0,0,2,50.41,107.368399,2.204665535,573.4563266
A-421,-4.412762427,204.357,4.415,64.583,15,0,0,0,0,84,0,3,3,3,0,94.14134414,2.097171261,312
A-422,-4.489105335,242.274,2.7917,68.5353,18,3,1,3,4,92,2,0,0,2,46.53,105.6526248,1.878810273,520.2717402
A-425,-4.567302938,284.311,3.0889,78.044,21,4,0,4,5,108,2,0,0,2,52.6,122.8633426,1.812348597,592.7018774
A-427,-4.446203904,212.333,3.5445,61.584,15,2,0,2,3,88,0,1,1,1,26.3,93.38779258,2.687271884,220.5758426
A-429,-4.420023997,197.281,3.92788,62.06,15,1,0,1,1,76,1,1,1,2,23.79,91.04808553,2.351332949,387.0969189
A-432,-4.5898858,272.26,3.2882,73.6008,20,4,0,6,5,102,2,0,0,2,86.28,114.524333,1.973886716,563.1270925
A-433,-4.469462233,206.329,4.106,65.2048,15,1,1,1,2,84,1,0,0,1,20.23,93.14517379,2.904264413,314.1870914
A-434,-4.49802684,220.356,4.6853,69.8038,16,1,1,1,8,90,1,0,0,1,20.23,99.5101159,2.005636511,263.2683698
A-435,-4.653605269,315.285,1.9546,82.5615,23,5,2,8,5,118,2,0,0,2,124.56,130.5626417,2.216587583,771.1818582
A-436,-4.678690034,334.032,2.3964,97.2237,22,0,1,2,17,136,0,0,0,0,4.44,147.5860781,0,182.5460575
A-441,1.332024844,322.375,2.0076,79.3604,18,0,0,2,12,112,0,0,0,0,0,126.69589,0,121.6661751
A-444,-3.323633394,146.426,-0.3561,3.8716,3,2,0,3,0,16,0,0,0,0,60,38.61253619,0,2.754887502
A-445,-3.052101177,776.82,7.6724,195.508,56,8,0,12,4,296,4,4,8,12,87.04,322.4428757,9.75E-08,1727.220824
A-451,-1.314975067,138.166,1.7038,39.546,10,2,0,2,2,54,1,0,0,1,18.46,60.38837781,2.964000094,185.1674942
A-452,0.444259344,240.241,-1.613,52.315,15,7,5,10,2,88,1,0,0,1,164.69,85.88024074,3.36E-07,391.5549293
A-453,0.370947285,282.206,-6.4972,42.3684,16,6,0,10,2,78,1,0,0,1,114.4,137.5154744,0,502.8864219
A-457,-2.245085326,116.204,2.2131,36.018,8,1,0,1,5,50,0,0,0,0,9.23,52.04244894,2.530060457,29.36806555
A-458,-2.533704672,225.553,3.267,43.1084,14,2,0,7,1,76,1,0,0,1,43.14,81.24919339,3.267886415,377.6879236
A-461,-3.7709815,392.467,1.8957,99.9444,28,5,3,6,2,154,0,3,4,4,94.83,163.8717856,1.837691879,804.7488255
A-463,-3.459862901,190.286,3.5025,59.627,14,1,0,1,4,76,1,0,0,1,17.07,86.14752002,2.768539052,284.608802
A-465,-2.371197393,154.253,2.2171,47.2778,11,1,1,1,1,64,0,0,1,1,20.23,69.12252962,2.686564096,160.2557124
A-466,-2.409128664,168.28,3.0599,54.1028,12,1,1,1,5,70,0,0,0,0,20.23,75.80369986,3.765107581,165.842926
A-467,-2.762296476,378.333,0.3534,86.5095,27,9,0,9,9,144,1,3,3,4,116.49,153.9590527,1.484111838,747.1992351
A-468,-2.433237945,176.259,2.7531,53.825,13,1,0,1,1,70,1,1,1,2,9.23,79.72876988,2.257639822,280.4357678
A-469,-3.423291255,172.268,2.7659,49.939,12,2,0,2,6,72,0,0,0,0,26.3,75.29879739,3.706707862,121.0069869
A-472,-2.185828855,99.404,-0.3561,3.8716,3,2,0,3,0,16,0,0,0,0,60,31.21331266,0,2.754887502
A-475,-2.41045076,166.22,2.484,48.78,12,2,0,2,4,66,1,0,0,1,18.46,73.11826204,2.765009424,208.0351181
A-477,0.625274489,152.146,-2.9463,32.192,10,5,5,5,4,62,0,0,0,0,101.15,58.17018825,3.685406534,76.10749561
A-478,-2.025733236,68.119,1.7485,25.011,5,0,0,0,1,28,0,0,0,0,0,32.81981342,3.204805418,51.05865003
A-481,-3.836075758,438.789,5.9217,140.9665,31,4,4,4,27,186,0,0,0,0,62.11,195.5276202,3.038810254,333.1981231
A-482,-3.393259787,158.285,2.8312,49.5558,11,1,1,1,6,68,0,0,0,0,20.23,70.81796381,3.09962083,78.94196247
A-483,-2.10218738,808.781,-2.16016,179.0458,53,18,2,23,12,272,4,0,0,4,282.44,347.8959986,4.86E-06,2366.921368
A-487,-3.431863898,170.296,3.2839,54.1968,12,1,1,1,6,72,0,0,0,0,20.23,76.49330289,3.561023722,126.9658022
A-492,-2.419967647,164.248,2.2576,46.599,12,1,0,1,1,66,0,3,3,3,17.07,73.53270081,1.889389092,211.0496522
A-493,-2.497713585,196.29,3.9508,59.8776,14,2,2,2,2,80,1,0,0,1,40.46,86.14464978,7.91E-07,227.2535713
A-495,-0.475507957,186.207,-0.0025,0,1,0,0,1,0,7,0,0,0,0,0,21.14774404,0,0
A-496,-2.340367591,136.194,2.13,41.6928,10,1,1,1,2,54,1,0,0,1,20.23,61.32046321,2.746978189,181.1795714
A-497,-2.482107917,188.148,2.908,41.4485,13,1,0,4,1,70,1,0,0,1,17.07,73.18435777,3.131063794,327.8768535
A-499,-3.496323842,196.29,2.7643,54.783,14,2,0,2,1,80,0,2,2,2,26.3,86.01701931,2.225540267,269.4952945
A-500,-3.758489195,358.401,-0.2171,81.9758,23,7,4,11,6,124,2,0,0,2,153.61,132.8433721,2.170531164,802.5532181
